feature,builtin,permutation
MagpieData range MendeleevNumber,0.005477700967838905,0.0009841150420172196
MagpieData avg_dev NdValence,0.0053688602544989025,0.003130647234358197
MagpieData range GSvolume_pa,0.005349941934935407,0.0013852946563393976
MagpieData maximum NpValence,0.0053158395765312,0.0021891010538893753
MagpieData range AtomicWeight,0.0053069548422282845,0.004206595885113529
MagpieData range MeltingT,0.005258517239867467,0.004061084859403619
MagpieData avg_dev NValence,0.0051992110395280774,0.0010713607488242794
MagpieData mean NdUnfilled,0.005096487547252219,0.0012198082694529933
MagpieData mean NValence,0.005092203451670927,0.00016658923799348636
MagpieData mean AtomicWeight,0.005074618949279161,0.0006970450068168321
MagpieData mean NsUnfilled,0.004693698295549712,0.0018341353979507314
MagpieData avg_dev MendeleevNumber,0.004570860957210076,0.0010275807184235374
MagpieData mode MendeleevNumber,0.004510857312926218,0.0006274192016070379
MagpieData avg_dev CovalentRadius,0.004284826352027644,0.0011113802731609
MagpieData avg_dev AtomicWeight,0.004263917758458275,0.0009375184401079317
MagpieData mean NpUnfilled,0.004211619389258042,0.0019610501104252442
MagpieData mean Column,0.004055225624693048,0.00163087966678912
MagpieData mean MendeleevNumber,0.004019330636084309,-0.00015166650788281944
MagpieData mean Number,0.0038951243952695647,0.000705386352913151
MagpieData avg_dev NdUnfilled,0.003742054328534067,-6.495456419396417e-05
MagpieData avg_dev Row,0.0037300005038543847,0.0012558810977328695
MagpieData mean NsValence,0.0037110361341213434,0.00029048509913705
MagpieData mode SpaceGroupNumber,0.003674997858588632,0.001597664015691913
MagpieData range Number,0.0036049753663734896,0.0012886160812899284
MagpieData avg_dev Number,0.003400426301347967,0.0009874630947362072
MagpieData maximum CovalentRadius,0.003382277267133971,0.0018989300903854201
MagpieData maximum MeltingT,0.003246589127267488,0.0021414409512846787
MagpieData mode GSvolume_pa,0.003104378819715515,0.0017861716204954138
MagpieData maximum GSvolume_pa,0.003074737696191059,0.0004532530854325811
MagpieData maximum Number,0.002905809325791658,0.0012464951296825345
MagpieData minimum Electronegativity,0.002893225946855352,0.0008872352665167393
MagpieData mode NUnfilled,0.00279301216511079,0.0017585206818697796
MagpieData maximum NpUnfilled,0.0025678565232440725,0.0005396809248980116
MagpieData maximum AtomicWeight,0.002534891581490053,0.0007240181659390555
MagpieData minimum SpaceGroupNumber,0.0024286353503835817,0.0011617691775392847
MagpieData range NUnfilled,0.0024202625898433706,0.001301389029476152
MagpieData avg_dev NsValence,0.0021789641212940866,0.0002928232292516264
MagpieData minimum Number,0.0021732722213591614,-0.0012973800417235837
MagpieData range SpaceGroupNumber,0.002125669260750328,0.0008779939955394722
MagpieData range GSbandgap,0.0021220715316322717,-0.0007200554426768036
MagpieData minimum NValence,0.0020791031716685705,0.0003323046831528731
MagpieData minimum MendeleevNumber,0.002052219949987057,0.0012612350057121802
MagpieData range NpValence,0.0020382379806436427,-0.0010973034445114437
MagpieData minimum Column,0.001913109956026197,0.0005352599550981108
MagpieData maximum NValence,0.0019005256851683738,0.0008874690139404007
MagpieData range NValence,0.0015840854498901877,0.0003723441326037635
MagpieData avg_dev NsUnfilled,0.001557949743551785,-0.0003576721286522422
MagpieData maximum NdUnfilled,0.001523527743935635,-4.2982441729577656e-05
MagpieData range GSmagmom,0.0015129929504201103,1.4168155554183936e-05
MagpieData maximum NUnfilled,0.0015105602750693265,0.0006893274576816987
MagpieData minimum NUnfilled,0.0012653965894983531,-0.0003687000854353806
MagpieData minimum AtomicWeight,0.0011915518367943546,-0.0007698375588349627
MagpieData mode Column,0.001185905639703452,-0.0001366592262428079
MagpieData maximum GSmagmom,0.0011294957187858927,6.858267440857934e-05
MagpieData range NdValence,0.0011233246291110857,0.00027033179749380576
MagpieData mode GSbandgap,0.0010883702273517093,6.603561797421386e-05
MagpieData maximum NdValence,0.0010602372883352403,0.0001958520111225437
MagpieData mode NpValence,0.0010105039120354806,0.00039386425036723737
MagpieData mode NsUnfilled,0.0009213939638728532,-0.00029356026746238937
MagpieData range NpUnfilled,0.0008835510680972648,3.791510470807502e-05
MagpieData maximum SpaceGroupNumber,0.0008589798901262713,0.00021391168907324286
MagpieData mode Number,0.0007925853041003238,-0.0003850540409051084
MagpieData mode AtomicWeight,0.0007566015077452324,-4.014837966765938e-05
MagpieData range NdUnfilled,0.0006547163724511993,1.3839104569113303e-05
MagpieData mode GSmagmom,0.0006168306801152684,0.0
MagpieData avg_dev NfValence,0.0005467491854399542,-0.00016970316424897992
MagpieData mode NValence,0.000546604357058315,0.00033645390710348446
MagpieData mode NpUnfilled,0.00046555876391831465,0.0002691972476724369
MagpieData minimum NdValence,0.0003834459076257551,0.0003358233862069349
MagpieData maximum Row,0.00032562027540255335,1.9652492449584448e-05
MagpieData mean NfValence,0.00028620781546395447,4.505099876561669e-06
MagpieData mode NdValence,0.00025103827998574935,-0.00021879994338317444
MagpieData range Row,0.00022455726500510796,-0.00014595131299777186
MagpieData range NsValence,0.000175071198118744,2.82393856241292e-05
MagpieData mode NsValence,0.000153317214029052,-7.486557986671193e-05
MagpieData mode NdUnfilled,0.000145232259972971,-0.00032707462811479846
MagpieData minimum Row,0.00012679875670366326,-0.00025454368107291625
MagpieData mode Row,0.00012609753112431717,4.759609058414549e-05
MagpieData maximum NsUnfilled,0.00011219150503468071,1.5089117674804697e-05
MagpieData maximum NfValence,8.144810984683014e-05,1.7679644584545073e-05
MagpieData minimum GSbandgap,7.856519743161762e-05,-1.2113687078463276e-05
MagpieData minimum NsValence,7.826364539085897e-05,3.410924635182111e-05
MagpieData range NfValence,5.855942650908759e-05,-3.7993482721887514e-05
MagpieData range NsUnfilled,4.4369213556277806e-05,5.408289459293281e-05
MagpieData minimum NpValence,2.731149126305576e-05,1.8774044542080314e-05
MagpieData minimum NpUnfilled,2.110275516796703e-05,7.144206659182029e-06
MagpieData avg_dev NfUnfilled,1.3223237944026905e-05,-1.4185301805635931e-06
MagpieData range NfUnfilled,1.2189257796165721e-05,-5.854786821357649e-07
MagpieData mean NfUnfilled,9.12467269448263e-06,1.400883375279882e-06
MagpieData maximum NfUnfilled,3.17089548709704e-06,-2.699358112812078e-07
MagpieData minimum NdUnfilled,0.0,0.0
MagpieData mode NfUnfilled,0.0,0.0
MagpieData mode NfValence,0.0,0.0
MagpieData minimum GSmagmom,0.0,0.0
MagpieData minimum NsUnfilled,0.0,0.0
MagpieData minimum NfUnfilled,0.0,0.0
MagpieData minimum NfValence,0.0,0.0
MagpieData maximum NsValence,0.0,0.0
