feature,DT_Gini,RF_Gini,RF_Perm,RF_Perm_std,Rank_DT,Rank_RF,Rank_Perm,Rank_change,Gini_Perm_diff,Cardinality,Max_Corr
MagpieData mean Column,0.0,0.003672988101806786,0.002179163679399554,0.0004399331087157387,96,62,27,35,0.001493824422407232,546,0.8365393889251508
MagpieData mean NUnfilled,0.011493787617087615,0.008222373739955314,0.0020863197441459923,0.0007774490467835184,12,27,28,-1,0.006136053995809321,351,0.7638989479461009
MagpieData mean GSbandgap,0.0017596205628723912,0.010082405348549513,0.0020784664473482593,0.0005924635060062151,33,19,29,-10,0.008003938901201255,1049,0.8610145725220981
MagpieData maximum NpValence,0.0,0.004643649821296686,0.001992671221452469,0.0005615411446501269,96,49,30,19,0.002650978599844217,6,0.8497943095043843
MagpieData avg_dev GSvolume_pa,0.003129382477966208,0.007699559499632575,0.001989485369524402,0.0006058471806798699,27,31,31,0,0.005710074130108173,4026,0.9157506005238817
MagpieData avg_dev NpUnfilled,0.0010883610090194832,0.008284681664020188,0.0019529048105747294,0.0011909789827432035,38,26,32,-6,0.006331776853445459,501,0.6826891722170716
MagpieData avg_dev Column,0.001812979053591885,0.008024696740213935,0.0019179574309561632,0.001717568237729528,32,28,33,-5,0.006106739309257772,979,0.8654947948492444
MagpieData range NUnfilled,0.0,0.0024191217216188127,0.0017567117468559879,0.0004938817060406551,96,72,34,38,0.0006624099747628248,19,0.9433348370139767
MagpieData mode NUnfilled,0.0,0.002535661762373627,0.001746269549609647,0.00027538149827107647,96,70,35,35,0.0007893922127639801,9,0.8181651993128701
MagpieData mean GSvolume_pa,0.005525588243860903,0.008736264388778963,0.0017335445128730752,0.0005982972988718605,18,22,36,-14,0.007002719875905887,4013,0.8409038864874333
MagpieData avg_dev NUnfilled,0.0015222489804026672,0.008866484429551132,0.0017306111697510506,0.0006533652378028569,35,20,37,-17,0.007135873259800081,766,0.857100235351748
MagpieData avg_dev Number,0.0,0.0041729572124811825,0.0017165497522012574,0.0005416007495095651,96,56,38,18,0.002456407460279925,2100,0.9974875767915333
MagpieData maximum CovalentRadius,0.0030385612988076158,0.003716519861314462,0.0017108825662226935,0.0004981835701805143,29,61,39,22,0.002005637295091769,54,0.8332325561650923
MagpieData maximum MeltingT,0.0001053159381634891,0.0034060478138765596,0.0016549218162101643,0.00040407818022502137,54,65,40,25,0.0017511259976663953,79,0.9644186241649353
MagpieData minimum Electronegativity,0.004144560341032298,0.0027457201230146333,0.001568257247843985,0.0006613083781824678,25,68,41,27,0.0011774628751706484,65,0.9213056526227613
MagpieData avg_dev AtomicWeight,0.0,0.004228620804152411,0.001548642833141023,0.0008054962498040767,96,54,42,12,0.002679977971011388,4021,0.9974875767915333
MagpieData mode GSvolume_pa,0.0,0.0022986134098694202,0.001539156903420158,0.0005026384492157416,96,75,43,32,0.0007594565064492622,59,0.8627887379447138
MagpieData avg_dev CovalentRadius,0.004418044972866049,0.0055685740726320754,0.0015141829808397623,0.0006399834216666145,24,39,44,-5,0.004054391091792313,2640,0.876406606002881
MagpieData mean CovalentRadius,0.0003479191160839871,0.007904247592790467,0.0014914865773316354,0.0005284587002104486,50,30,45,-15,0.006412761015458832,2180,0.8750353623804956
MagpieData mean MendeleevNumber,0.0,0.0042222552241140835,0.0014249071643772093,0.0005324054734856775,96,55,46,9,0.002797348059736874,1667,0.8587152638990538
MagpieData avg_dev NValence,0.006451994784198789,0.005466164885856074,0.0013913576004697115,0.0006249354625076221,17,41,47,-6,0.004074807285386363,1201,0.8339209464432195
MagpieData avg_dev NpValence,0.05498425565302141,0.013421897714514349,0.001350756248178997,0.004251026113307181,3,10,48,-38,0.012071141466335353,507,0.8336345837105917
MagpieData avg_dev MendeleevNumber,0.0008203913696434853,0.004816537502348942,0.001334485858697776,0.0010856599258488434,41,46,49,-3,0.003482051643651166,2381,0.8677053554635238
MagpieData range NValence,0.0,0.002406512403650468,0.0012955584012692145,0.00041618120558161353,96,73,50,23,0.0011109540023812535,29,0.8816689386991569
MagpieData avg_dev Row,0.007390817625870773,0.003547654095229739,0.0012111354360403114,0.0003414534265849904,15,63,51,12,0.0023365186591894275,617,0.840217976955179
MagpieData minimum MendeleevNumber,0.0,0.0026735567702418275,0.0012044166535290167,0.0005270497392141355,96,69,52,17,0.0014691401167128107,79,0.9910508224902999
MagpieData mean Number,0.0,0.004666901748049141,0.0010697979355089205,0.0007587782333162192,96,48,53,-5,0.003597103812540221,1319,0.9987590700694418
MagpieData range GSvolume_pa,0.0003228929070870956,0.0052120110915416925,0.0010050204813170538,0.0004288295287021655,51,43,54,-11,0.004206990610224639,921,0.9725007966473677
MagpieData avg_dev GSbandgap,0.0,0.007380087496574672,0.0009874955918329875,0.0006044351176751817,96,32,55,-23,0.006392591904741684,1029,0.9554009029053521
MagpieData minimum Column,0.0,0.0015309993998949886,0.0009743374664686443,0.0004690213921116888,96,86,56,30,0.0005566619334263442,17,0.9582394406683209
MagpieData maximum Column,0.0,0.0055468829685001945,0.0009327896136192559,0.0005177612959997385,96,40,57,-17,0.0046140933548809385,13,0.8497943095043843
MagpieData maximum NValence,0.003131308230551098,0.0020888542997533573,0.000920690402613622,0.00047935625309383496,26,78,58,20,0.0011681638971397354,29,0.8816689386991569
MagpieData mean NValence,0.0,0.00641571210187633,0.0008947954547048331,0.0013877280852785836,96,37,59,-22,0.005520916647171497,665,0.876591095949421
MagpieData mode CovalentRadius,0.0,0.00871342855480192,0.0008781231089676322,0.0005502077641222775,96,23,60,-37,0.007835305445834289,39,0.875312130178386
MagpieData maximum NpUnfilled,0.0,0.001795794659202609,0.0008706692051973386,0.0005218990347496743,96,80,61,19,0.0009251254540052704,6,0.8693406731898115
MagpieData mode SpaceGroupNumber,0.0,0.002783074950826735,0.0008094280542031651,0.00029666087965579186,96,67,62,5,0.00197364689662357,14,0.8200929858870462
MagpieData maximum NUnfilled,0.00014605280097623304,0.0012205469638413272,0.00072666607639581,0.00022547989445570815,53,92,63,29,0.0004938808874455172,15,0.9433348370139767
MagpieData mode NValence,0.0,0.0006670814309444202,0.0007246781527748492,0.00021159435769140412,96,106,64,42,-5.7596721830429016e-05,22,0.8497963195668548
MagpieData range NdValence,0.0,0.0017341217313870416,0.0007214490072285362,0.0004920554650121972,96,82,65,17,0.0010126727241585053,11,0.8906217861433136
MagpieData mean NpUnfilled,0.0,0.00461107115463205,0.0007157837614298445,0.0003965939176862824,96,51,66,-15,0.003895287393202205,280,0.7637655110230758
MagpieData mean AtomicWeight,0.0,0.005616693520804179,0.0006657685695393711,0.0002564993794667857,96,38,67,-29,0.004950924951264808,4020,0.9987590700694418
MagpieData maximum GSvolume_pa,0.0051958830329485,0.0034190029867083326,0.000603789147609679,0.000431839976841047,21,64,68,-4,0.002815213839098654,79,0.9725007966473677
MagpieData range NpUnfilled,0.0,0.001547765611035294,0.0005967349539851341,0.0002813863988602433,96,84,69,15,0.0009510306570501599,6,0.8693406731898115
MagpieData mean NsUnfilled,0.004463829091291197,0.004738804971258213,0.0005791060576211149,0.0014672346766972418,23,47,70,-23,0.004159698913637098,129,0.9715510627818581
MagpieData mode Column,0.0,0.0013966987718019898,0.0005710866874296006,0.00029424204678655586,96,88,71,17,0.0008256120843723892,17,0.9246076339983498
MagpieData mean NfUnfilled,0.0,0.0001876154452028001,0.0005507379107772548,5.1856516707403446e-05,96,116,72,44,-0.00036312246557445465,86,0.9938493077400476
MagpieData maximum SpaceGroupNumber,0.0004807452298476232,0.0011400776558294409,0.0005053798697916556,0.00026563512795533856,46,93,73,20,0.0006346977860377852,15,0.6611715786812582
MagpieData mode AtomicWeight,0.0,0.0007463333196985051,0.0005029312531749875,0.00031472439526153965,96,103,74,29,0.0002434020665235177,54,0.9981970837668874
MagpieData minimum NdValence,0.0,0.0005737920928140251,0.0004363485380439958,5.172750901370037e-05,96,108,75,33,0.0001374435547700293,11,0.7292815858872967
MagpieData range Column,0.010419882408957021,0.006585051858248408,0.0004143784312688026,0.0015684414809367193,13,36,76,-40,0.006170673426979605,17,0.9582394406683209
MagpieData range SpaceGroupNumber,0.0009522050569955173,0.0023066066906088064,0.00039049374056585593,0.00023971950395228176,39,74,77,-3,0.0019161129500429503,80,0.896472763014155
MagpieData minimum NValence,0.0,0.0024636902126346314,0.000389882650219886,0.00047314910342564345,96,71,78,-7,0.0020738075624147454,18,0.7305365066824947
MagpieData maximum NdValence,0.0,0.0009339747294768214,0.0003570382047352605,0.00016205903069497387,96,98,79,19,0.0005769365247415609,11,0.8760666865553476
MagpieData mean NsValence,6.168966125172824e-05,0.0037404405076502853,0.00023580858920660975,0.0011649163736850534,55,60,80,-20,0.0035046319184436755,131,0.9715510627818581
MagpieData mode NpValence,0.0,0.0006862026810108773,0.00023199576655872356,0.00012563887334461182,96,105,81,24,0.0004542069144521537,6,0.9246076339983498
MagpieData maximum NdUnfilled,0.0,0.0010755059900212102,0.0002286237841796712,0.0001427567453942315,96,94,82,12,0.000846882205841539,10,1.0
MagpieData avg_dev NdUnfilled,0.000396075204244357,0.003742048861540157,0.00021813119995269802,0.00014434704690387216,48,59,83,-24,0.003523917661587459,368,0.9720891837824475
MagpieData mode NpUnfilled,0.0,0.0004073421184581458,0.0001682632273728446,6.21599773938284e-05,96,109,84,25,0.00023907889108530119,6,0.8181651993128701
MagpieData range Row,0.0003774094985901825,0.0007129551386820763,0.00015979820069237372,0.00019851275944607582,49,104,85,19,0.0005531569379897026,7,0.842170800053997
MagpieData range GSbandgap,0.0,0.001530313600205637,0.00015950541270769446,7.441212745496658e-05,96,87,86,1,0.0013708081874979426,76,0.9834416816169296
MagpieData range NsUnfilled,0.0,0.00015511621862465412,0.00015152406703878852,9.757034758782768e-05,96,118,87,31,3.5921515858655933e-06,2,0.9935648119895371
MagpieData range NdUnfilled,0.0,0.001005839615646085,0.00014560121241028457,0.000292193747905294,96,95,88,7,0.0008602384032358005,10,1.0
MagpieData avg_dev NsValence,0.0,0.0021539517454491957,0.0001237833569056601,0.0005576060069993108,96,77,89,-12,0.0020301683885435356,141,0.9554926975995474
MagpieData maximum Row,0.0,0.00024068830105903832,0.00012081320061672063,7.777227179566865e-05,96,113,90,23,0.00011987510044231768,7,0.9289101904768099
MagpieData mode Row,0.0,0.0001859040972177751,9.678614150253617e-05,3.1842417532906054e-05,96,117,91,26,8.911795571523892e-05,6,0.9481447558785538
MagpieData maximum NfValence,0.0,0.00011910105267300143,8.799881197339987e-05,1.259965585710337e-05,96,119,92,27,3.1102240699601555e-05,12,0.9985913168444425
MagpieData minimum NsValence,0.0,0.00032175587393027815,6.807601944379682e-05,4.440507012078135e-05,96,111,93,18,0.00025367985448648134,3,0.9935797533295908
MagpieData range GSmagmom,0.0,0.000997697979378004,6.269740000567348e-05,0.00019839129028501414,96,96,94,2,0.0009350005793723305,8,1.0
MagpieData minimum GSbandgap,0.0,0.0003129821838495157,3.667644717538776e-05,0.00015250203457520863,96,112,95,17,0.0002763057366741279,15,0.38203865168338574
MagpieData range NsValence,0.0,8.023276879768117e-05,2.512664049674207e-05,3.160606573745328e-05,96,122,96,26,5.51061283009391e-05,3,0.9935797533295908
MagpieData maximum GSmagmom,0.0,0.001997623256751739,1.912625422807457e-05,0.000536465394528723,96,79,97,-18,0.001978497002523664,8,1.0
MagpieData range NfValence,0.0,0.00010005365951642633,1.1397810937818776e-05,5.428586023941467e-05,96,120,98,22,8.865584857860755e-05,12,0.9985913168444425
MagpieData minimum NpUnfilled,0.0,1.4802757612011188e-05,1.0113656940635706e-05,7.374497802355262e-06,96,127,99,28,4.689100671375482e-06,5,0.7491263295173535
MagpieData range NfUnfilled,0.0,5.043196429391867e-05,8.63582622415704e-06,3.0104518418225308e-05,96,124,100,24,4.1796138069761635e-05,11,1.0
MagpieData mode NdValence,0.0,0.0003907554648404538,1.8806467194654175e-06,0.00010149499713351603,96,110,101,9,0.00038887481812098837,11,0.8497963195668548
MagpieData maximum NfUnfilled,0.0,7.472782603208907e-05,1.6288319533930285e-06,1.0002559817630348e-05,96,123,102,21,7.309899407869605e-05,11,1.0
MagpieData minimum NpValence,0.0,4.058350047961855e-05,2.56134986287293e-07,7.206230114478363e-06,96,125,103,22,4.032736549333126e-05,6,0.7491263295173535
MagpieData maximum NsValence,0.0,1.6312811989859507e-06,0.0,0.0,96,128,108,20,1.6312811989859507e-06,2,0.9681438891089235
MagpieData minimum NfValence,0.0,0.0,0.0,0.0,96,132,108,24,0.0,2,0.29423298786450275
MagpieData mode NfValence,0.0,0.0,0.0,0.0,96,132,108,24,0.0,2,0.37040839575266965
MagpieData minimum NdUnfilled,0.0,0.0,0.0,0.0,96,132,108,24,0.0,1,
MagpieData minimum NsUnfilled,0.0,0.0,0.0,0.0,96,132,108,24,0.0,2,0.9681438891089235
MagpieData minimum GSmagmom,0.0,0.0,0.0,0.0,96,132,108,24,0.0,1,
MagpieData minimum NfUnfilled,0.0,0.0,0.0,0.0,96,132,108,24,0.0,1,
MagpieData mode NfUnfilled,0.0,0.0,0.0,0.0,96,132,108,24,0.0,1,
MagpieData mode GSmagmom,0.0,0.0008465121377342087,0.0,0.0,96,100,108,-8,0.0008465121377342087,5,0.3750267338121572
MagpieData avg_dev NfUnfilled,0.0,3.798043484000924e-05,-5.77473836338438e-07,1.5655988602273417e-06,96,126,113,13,3.855790867634768e-05,116,0.9938493077400476
MagpieData maximum NsUnfilled,0.0,8.374455371417473e-05,-5.948850664094785e-05,7.458408331945916e-05,96,121,114,7,0.00014323306035512258,2,0.9935648119895371
MagpieData avg_dev GSmagmom,0.0,0.008394365336202712,-7.839602226488163e-05,0.0010548578437070961,96,25,115,-90,0.008472761358467595,223,0.9860464627982265
MagpieData mean GSmagmom,0.0013187158558176613,0.007929126878807992,-0.00013032367206730066,0.0010993212208529628,37,29,116,-87,0.008059450550875293,204,0.9860464627982265
MagpieData mode GSbandgap,0.0,0.0013857532420323744,-0.00013187916159411727,0.0003372511041476997,96,89,117,-28,0.0015176324036264917,15,0.8006955112673942
MagpieData mode Number,0.0008673122142145602,0.0009044780321220582,-0.00014184356717619195,0.00010041117973768312,40,99,118,-19,0.0010463215992982501,54,0.9981970837668874
MagpieData range MendeleevNumber,0.0007174027637132587,0.004518203322220837,-0.00014658904458824117,0.001123055798706572,42,52,119,-67,0.004664792366809078,96,0.9910508224902999
MagpieData maximum GSbandgap,0.0,0.008575407934955193,-0.00016864960868478995,0.0011909471641434574,96,24,120,-96,0.008744057543639983,15,0.9834416816169296
MagpieData mode NsValence,0.0,0.0002028997462060846,-0.00017433117651747266,4.224092463297825e-05,96,115,121,-6,0.0003772309227235573,3,0.8182788225420226
MagpieData mode MendeleevNumber,0.0,0.004454078985848026,-0.00025927987712665024,0.0004809823930455959,96,53,122,-69,0.004713358862974676,76,0.8223484377115121
MagpieData minimum Row,0.0,0.00023094363463313007,-0.0002661636187210936,7.206474121227396e-05,96,114,123,-9,0.0004971072533542237,6,0.9300504479051038
MagpieData avg_dev NfValence,0.0,0.0008145824719117785,-0.0003404704464392228,0.00014126390184497268,96,101,124,-23,0.0011550529183510013,179,0.9458936690155487
MagpieData minimum AtomicWeight,0.0,0.0012628789730024224,-0.00037745170943694897,0.00022327991044862475,96,90,125,-35,0.0016403306824393712,51,0.9973068856316526
MagpieData mode NsUnfilled,0.0,0.0009532977391084169,-0.0005708669571321323,0.00032383153406973685,96,97,126,-29,0.0015241646962405493,2,0.6719691506223785
MagpieData minimum Number,0.0,0.0016081455764417251,-0.0005825977072805077,0.00021835609559046573,96,83,127,-44,0.002190743283722233,51,0.9973068856316526
MagpieData avg_dev SpaceGroupNumber,0.00047515668785010827,0.007239517551755676,-0.0006032259921627037,0.0010668009261997164,47,33,128,-95,0.00784274354391838,1797,0.896472763014155
MagpieData mode NdUnfilled,0.0,0.0008103467072236174,-0.000623654238161675,1.6389035082461328e-05,96,102,129,-27,0.0014340009453852926,7,0.3750267338121572
MagpieData minimum NUnfilled,0.0,0.0012484767780368182,-0.0008276807816851139,0.00022986249514423467,96,91,130,-39,0.0020761575597219323,6,0.5725832918442892
MagpieData avg_dev NsUnfilled,0.0,0.0017737337099948307,-0.001047706716089336,0.0008297021049209377,96,81,131,-50,0.002821440426084167,129,0.9554926975995474
MagpieData range NpValence,0.0,0.0015314890973758789,-0.0011355693020932312,0.0006640523334598093,96,85,132,-47,0.00266705839946911,6,0.8336345837105917
MagpieData mean NfValence,0.0,0.0005971912155105811,-0.0012214301976915087,0.00011132072831672418,96,107,133,-26,0.0018186214132020898,136,0.9458936690155487
MagpieData mean NdUnfilled,0.014792191952010415,0.005188149871623978,-0.0012267248636628092,0.0005789713973689647,9,44,134,-90,0.006414874735286787,226,0.9720891837824475
MagpieData mode Electronegativity,0.022026538821990127,0.00880905322657995,-0.0033032784652309633,0.002614454205282937,6,21,135,-114,0.012112331691810913,64,0.8734859482234079
